,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH,proche route,proche canal,perp route,perp canal,paral route,paral canal
2678,6,7,H,8176,1.0,312523.674724,2397377.724419,312542.120068,2397360.653827,1.0,312532.897396,2397369.189123,25.132366,2.317506,HO,1,1,1,1,0,0
2723,6,8,H,7532,1.0,313604.045797,2396889.667043,313612.640133,2396901.583427,1.0,313608.342965,2396895.625235,14.692271,0.624826,HO,1,1,1,1,0,0
2725,6,8,H,7550,1.0,313662.716005,2396840.827747,313714.842341,2396857.249315,1.0,313688.779173,2396849.038531,54.651833,1.265605,HV,0,1,0,1,0,0
2737,6,8,H,7671,1.0,313599.811813,2396982.743235,313644.251141,2396969.502563,1.0,313622.031477,2396976.122899,46.369918,1.860371,HV,1,1,1,1,0,0
2752,6,8,H,7765,1.0,313517.436933,2397053.252419,313562.233989,2397071.132003,1.0,313539.835461,2397062.192211,48.233347,1.191045,HO,0,1,0,1,0,0
2755,6,8,H,7787,1.0,313601.186757,2397013.996579,313607.594213,2397024.501635,1.0,313604.390485,2397019.249107,12.304946,0.547696,HO,1,1,0,1,1,0
2794,6,8,H,8251,1.0,313498.987461,2397489.427684,313522.690021,2397499.994788,1.0,313510.838741,2397494.711236,25.951398,1.151423,HO,1,1,0,1,1,0
2840,7,1,H,14713,1.0,306875.613695,2396378.581634,306882.540792,2396382.889948,1.0,306879.077244,2396380.735791,8.157588,1.014393,HO,0,1,0,1,0,0
3020,7,3,H,7024,1.0,307939.374688,2396458.753603,307964.12,2396460.462275,1.0,307951.747344,2396459.607939,24.804234,1.501855,HV,0,1,0,1,0,0
3027,7,3,H,7166,1.0,307984.748928,2396522.497315,307972.030016,2396526.990371,1.0,307978.389472,2396524.743843,13.489191,1.910371,HV,0,1,0,1,0,0
3028,7,3,H,7167,1.0,307972.030016,2396526.990371,307966.295872,2396527.748451,1.0,307969.162944,2396527.369411,5.784038,1.702239,HV,0,1,0,1,0,0
3055,7,4,H,6274,1.0,309226.189281,2395718.766434,309169.030497,2395735.007042,1.0,309197.609889,2395726.886738,59.421241,1.847632,HV,0,1,0,1,0,0
3128,7,5,H,6432,1.0,310794.280962,2395900.004194,310798.969666,2395827.748866,1.0,310796.625314,2395863.87653,72.407295,3.076793,HP,1,1,1,1,0,0
