Landscape,row,col,type,id,bool1,X1,Y1,X2,Y2,bool2,XG,YG,Lng,Ang,typeH
B,"3",,H,"9948","1",309560.624161,2400022.501414,309578.498657,2400021.250502,"1",309569.561409,2400021.875958,17.918214,1.640665,HV
B,"3",,H,"9958","1",309743.363713,2400148.30567,309761.563169,2400164.248038,"1",309752.463441,2400156.276854,24.194613,0.851411,HO
B,"3",,H,"9959","1",309761.563169,2400164.248038,309784.937857,2400208.246406,"1",309773.250513,2400186.247222,49.822007,0.488344,HO
B,"3",,H,"9960","1",309784.937857,2400208.246406,309829.18877,2400196.967942,"1",309807.063314,2400202.607174,45.6656,1.820358,HV
B,"3",,H,"9975","1",309614.344385,2400072.000934,309626.595713,2400231.744902,"1",309620.470049,2400151.872918,160.213078,0.076544,HP
B,"3",,H,"9984","1",309310.061889,2400116.000166,309345.811265,2400279.993414,"1",309327.936577,2400197.99679,167.844581,0.214635,HP
B,"3",,H,"10015","1",309603.248193,2400352.743462,309618.345601,2400358.505062,"1",309610.796897,2400355.624262,16.159448,1.206227,HO
B,"3",,H,"10016","1",309618.345601,2400358.505062,309647.292705,2400355.484486,"1",309632.819153,2400356.994774,29.104273,1.674768,HV
B,"3",,H,"10046","1",309612.845665,2400391.257094,309659.594881,2400374.743078,"1",309636.220273,2400383.000086,49.580257,1.910361,HV
B,"3",,H,"10062","1",309612.845665,2400391.257094,309605.998145,2400416.254054,"1",309609.421905,2400403.755574,25.917881,2.874218,HP
B,"3",,H,"10073","1",309605.998145,2400416.254054,309585.249889,2400443.752838,"1",309595.624017,2400430.003446,34.448124,2.495208,HO
B,"3",,H,"10074","1",309585.249889,2400443.752838,309570.125089,2400454.753382,"1",309577.687489,2400449.25311,18.70218,2.199622,HO
B,"3",,H,"10077","0",309834.656962,2400436.755014,309969.40461,2400468.503142,"1",309902.030786,2400452.629078,138.43725,1.339405,HV
B,"3",,H,"10078","1",309601.873569,2400471.252486,309696.719233,2400370.756166,"1",309649.296401,2400421.004326,138.18542,2.385113,HO
B,"3",,H,"13070","1",309686.949537,2399774.550598,309694.297665,2399811.98503,"1",309690.623601,2399793.267814,38.14881,0.193829,HP
B,"3",,H,"13071","1",309694.297665,2399811.98503,309695.172609,2399854.624902,"1",309694.735137,2399833.304966,42.648848,0.020517,HP
B,"3",,H,"13072","1",309596.428769,2399793.97591,309604.149249,2399844.159078,"1",309600.289009,2399819.067494,50.773577,0.152649,HP
B,"3",,H,"9647","0",310714.780034,2399602.996805,310717.405986,2399483.001989,"0",310716.09301,2399542.999397,120.023546,3.119712,HP
B,"3",,H,"9710","1",310717.405986,2399759.49591,310726.563362,2399745.251366,"1",310721.984674,2399752.373638,16.934124,2.570247,HO
B,"3",,H,"9711","1",310726.563362,2399745.251366,310727.841986,2399728.25687,"1",310727.202674,2399736.754118,17.042528,3.066497,HP
B,"3",,H,"9712","1",310727.841986,2399728.25687,310722.562146,2399690.499686,"1",310725.202066,2399709.378278,38.124554,0.138936,HP
B,"3",,H,"9713","1",310722.562146,2399690.499686,310716.031106,2399621.260326,"1",310719.296626,2399655.880006,69.5467,0.094047,HP
B,"3",,H,"9714","1",310719.346562,2399762.106214,310730.46493,2399745.948294,"1",310724.905746,2399754.027254,19.613681,2.538894,HO
B,"3",,H,"9715","1",310730.46493,2399745.948294,310732.068834,2399727.96119,"1",310731.266882,2399736.954742,18.058472,3.052658,HP
B,"3",,H,"9716","1",310732.068834,2399727.96119,310725.767618,2399684.081862,"1",310728.918226,2399706.021526,44.329457,0.142628,HP
B,"3",,H,"9717","1",310725.767618,2399684.081862,310720.61213,2399626.798118,"1",310723.189874,2399655.43999,57.515271,0.089757,HP
B,"3",,H,"9718","1",310720.61213,2399626.798118,310718.66445,2399602.509797,"1",310719.63829,2399614.653958,24.366288,0.080019,HP
B,"3",,H,"9719","0",310718.66445,2399602.509797,310719.466434,2399561.036389,"1",310719.065442,2399581.773093,41.481161,3.122258,HP
B,"3",,H,"9728","1",310735.505858,2399790.400422,310736.429218,2399790.438982,"1",310735.967538,2399790.419702,0.924165,1.52906,HV
